objectid,display_template,parentid,object_location,image_small,image_thumb,title,date,description,ark,source
historicalmaps26,compound_object,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones100_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones100_001_th.jpg,Map of part of college farm Iowa Agricultural College showing drain-tile and sewers,1896,"Map of part of Iowa Agricultural College's college farm from 1896, showing drain tiles and sewers.",https://n2t.net/ark:/87292/w9707ww2h,"Campus Maps, 1868-2008"
historicalmaps27,image,historicalmaps26,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/cornerstones100_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones100_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones100_001_th.jpg,Front,,,,
historicalmaps28,image,historicalmaps26,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/cornerstones100_002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones100_002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones100_002_th.jpg,Back,,,,
historicalmaps29,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/cornerstones101.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones101_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones101_th.jpg,Map of Iowa Agricultural College campus showing existing and proposed water pipes,1896~,Map of the campus of Iowa Agricultural College showing the locations of existing and proposed water pipes.,https://n2t.net/ark:/87292/w9377628j,"Campus Maps, 1868-2008"
historicalmaps30,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/cornerstones102.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones102_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones102_th.jpg,Map of the Iowa State College campus,1909,"Map of Iowa State College's campus in 1909, including a public grounds boundary.",https://n2t.net/ark:/87292/w9zg6gf35,"Campus Maps, 1868-2008"
historicalmaps31,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/cornerstones103.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones103_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones103_th.jpg,Map of Iowa Agricultural College farm,1875,"Map of Iowa Agricultural College farm in 1875, redrawn in 1970 from an 1885 map. ",https://n2t.net/ark:/87292/w9tq5rm9d,"Campus Maps, 1868-2008"
historicalmaps32,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/cornerstones104.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones104_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones104_th.jpg,"Map of Iowa State University historical map series, central campus",1898,Map from the historical map series of Iowa State University showing central campus as it was in 1898.,https://n2t.net/ark:/87292/w9pz51t5n,"Campus Maps, 1868-2008"
historicalmaps33,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/cornerstones105.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones105_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones105_th.jpg,"Map of Iowa State College, Ames, Iowa",1914,"Map of the Iowa State College campus prepared by H.C. Irish, landscape architect. The map has landscaping notes written on it.",https://n2t.net/ark:/87292/w9k64b117,"Campus Maps, 1868-2008"
historicalmaps34,compound_object,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones106_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones106_001_th.jpg,"Map of campus and grounds, Iowa State College",1903,Topographic maps of the Iowa State College campus prepared by the Civil Engineering Department. ,https://n2t.net/ark:/87292/w9fj29m0d,"Campus Maps, 1868-2008"
historicalmaps35,image,historicalmaps34,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/cornerstones106_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/cornerstones106_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/cornerstones106_001_th.jpg,Panel 1,,,,
